6001254000017,AP,FUJ,1L,C10T,GEN,UL,198
6001254000024,AP,GRS,1R,M18T,TRU,UL,120
6001254000031,AP,CIR,SA,M22T,SUP,UL,231
6001254000048,AP,GDL,1L,M18T,SWEET,UL,80
6001254000055,AP,GDL,1L,M18T,SWEET,UL,70
6001254000062,AP,GDL,1L,M18T,SWEET,UL,90
6001254000079,AP,GDL,1L,M18T,SWEET,UL,100
6001254000086,AP,GDL,1L,M18T,SWEET,UL,110
6001254000093,AP,CIR,1L,T12Z,TRU,UL,180
6001254000109,AP,PLD,1L,A10D,GEN,UL,216
6001254000116,AP,PLD,1L,B10D,GEN,UL,198
6001254000123,AP,GDL,1Z,T12D,TRU,UL,135
6001254000130,AP,GDL,1Z,T12D,TRU,UL,150
6001254000147,AP,GDL,1Z,T12D,TRU,UL,165
6001254000154,AP,GDL,1Z,T12D,TRU,UL,180
6001254000161,AP,CIR,SA,M22T,SUP,LB,231
6001254000178,AP,CIR,SA,M22T,SUP,LB,252
6001254000185,AP,CIR,SA,M18T,SUP,LB,150
6001254000192,AP,GRS,1Z,M18T,SDAY,UL,150
6001254000208,AP,GRS,1Z,M18T,SDAY,UL,165
6001254000215,AP,BBN,1L,A10T,GEN,PR,198
6001254000222,AP,GRS,SA,M18T,TRU,UL,150
6001254000239,AP,GRS,SA,M18T,TRU,UL,165
6001254000246,AP,CIR,1L,A10Z,GEN,SP,198
6001254000253,AP,CIR,1L,A10Z,GEN,SP,216
6001254000260,AP,CIR,1L,B10Z,GEN,SP,198
6001254000277,AP,CIR,1L,B10Z,GEN,SP,216
6001254000284,CH,RLD,1L,D01P,TRU,UL,18X
6001254000291,CH,RLD,1L,D02I,TRU,UL,18X
6001254000307,CH,RLD,1L,D02I,TRU,UL,22X
6001254000314,CH,RLD,1L,M18T,TRU,UL,18X
6001254000321,CH,BNG,1L,D01P,TRU,UL,18X
6001254000338,CH,BNG,1L,D02I,TRU,UL,18X
6001254000345,CH,BNG,1L,M18T,TRU,UL,18X
6001254000352,CH,VAN,1L,D01P,TRU,UL,18X
6001254000369,CH,VAN,1L,D01P,TRU,UL,22X
6001254000376,CH,VAN,1L,D02I,TRU,UL,18X
6001254000383,CH,VAN,1L,D02I,TRU,UL,22X
6001254000390,CH,VAN,1L,M18T,TRU,UL,18X
6001254000406,CH,VAN,1L,M18T,TRU,UL,22X
6001254000413,CH,RAI,1L,D01P,TRU,UL,18X
6001254000420,CH,RAI,1L,D02I,TRU,UL,18X
6001254000437,CH,RAI,1L,M18T,TRU,UL,18X
6001254000444,CH,LAP,1L,D01P,TRU,UL,18X
6001254000451,CH,LAP,1L,D01P,TRU,UL,22X
6001254000468,CH,LAP,1L,D02I,TRU,UL,18X
6001254000475,CH,LAP,1L,M18T,TRU,UL,18X
6001254000482,CH,SWH,1L,D01P,TRU,UL,18X
6001254000499,CH,SWH,1L,D02I,TRU,UL,18X
6001254000505,CH,SWH,1L,M18T,TRU,UL,18X
6001254000512,CH,STL,1L,D01P,TRU,UL,18X
6001254000529,CH,STL,1L,D02I,TRU,UL,18X
6001254000536,CH,STL,1L,D02I,TRU,UL,22X
6001254000543,CH,STL,1L,M18T,TRU,UL,18X
6001254000550,CH,STL,1L,M18T,TRU,UL,22X
6001254000567,AP,GDL,1Z,J09T,GEN,UL,L
6001254000574,AP,GDL,1Z,J09T,GEN,UL,M
6001254000581,AP,GDL,1Z,J09T,GEN,UL,ML
6001254000598,AP,GDL,1Z,J09T,GEN,UL,S
6001254000604,AP,GDL,1Z,J09T,GEN,UL,XL
6001254000611,AP,GDL,1Z,J09T,GEN,UL,XS
6001254000628,PR,BBC,1A,A14S,TRU,UL,52
6001254000635,PR,BBC,1A,A14S,TRU,UL,60
6001254000642,PR,BBC,1A,A14S,TRU,UL,70
6001254000659,PR,BBC,1A,A14S,TRU,UL,80
6001254000666,PR,BBC,1A,A14S,TRU,UL,90
6001254000673,PR,GRB,1A,A14S,TRU,UL,52
6001254000680,PR,GRB,1A,A14S,TRU,UL,60
6001254000697,PR,GRB,1A,A14S,TRU,UL,70
6001254000703,PR,GRB,1A,A14S,TRU,UL,80
6001254000710,PR,GRB,1A,A14S,TRU,UL,90
6001254000727,PR,PTR,1A,A14S,TRU,UL,52
6001254000734,PR,PTR,1A,A14S,TRU,UL,60
6001254000741,PR,PTR,1A,A14S,TRU,UL,70
6001254000758,PR,PTR,1A,A14S,TRU,UL,80
6001254000765,PR,PTR,1A,A14S,TRU,UL,90
6001254000772,PR,WBC,1A,A14S,TRU,UL,52
6001254000789,PR,WBC,1A,A14S,TRU,UL,60
6001254000796,PR,WBC,1A,A14S,TRU,UL,70
6001254000802,PR,WBC,1A,A14S,TRU,UL,80
6001254000819,PR,WBC,1A,A14S,TRU,UL,90
6001254000826,PR,BHD,1A,A14S,TRU,UL,52
6001254000833,PR,BHD,1A,A14S,TRU,UL,60
6001254000840,PR,BHD,1A,A14S,TRU,UL,70
6001254000857,PR,BHD,1A,A14S,TRU,UL,80
6001254000864,PR,BHD,1A,A14S,TRU,UL,90
6001254000871,PR,SMP,1A,A14S,TRU,UL,52
6001254000888,PR,SMP,1A,A14S,TRU,UL,60
6001254000895,PR,SMP,1A,A14S,TRU,UL,70
6001254000901,PR,SMP,1A,A14S,TRU,UL,80
6001254000918,PR,SMP,1A,A14S,TRU,UL,90
6001254000925,PR,FVB,1A,A14S,TRU,UL,52
6001254000932,PR,FVB,1A,A14S,TRU,UL,60
6001254000949,PR,FVB,1A,A14S,TRU,UL,70
6001254000956,PR,FVB,1A,A14S,TRU,UL,80
6001254000963,PR,FVB,1A,A14S,TRU,UL,90
6001254000970,PR,VBT,1A,A14S,TRU,UL,52
6001254000987,PR,VBT,1A,A14S,TRU,UL,60
6001254000994,PR,VBT,1A,A14S,TRU,UL,70
6001254001007,PR,VBT,1A,A14S,TRU,UL,80
6001254001014,PR,VBT,1A,A14S,TRU,UL,90
6001254001021,PR,WBC,SF,A16G,16X5,UL,80
6001254001038,PR,WBC,SF,A16G,16X5,UL,090
6001254001045,PR,BHD,1A,M12T,TRU,LB,45
6001254001052,PR,BHD,1A,M12T,TRU,LB,48
6001254001069,PR,BHD,1A,M12T,TRU,LB,52
6001254001076,PR,BHD,1A,M12T,TRU,LB,60
6001254001083,PR,BHD,1A,M12T,TRU,LB,70
6001254001090,PR,BHD,2A,A18S,18X5,UL,80
